"trial_type","trial_index","time_elapsed","internal_node_id","subject","tap_condition","code_version","rt","stimulus","key_press","event","button_pressed","response"
"pavlovia","0","3","0.0-0.0","65","false","v1.1","","","","","",""
"html-keyboard-response","1","1620","0.0-1.0","65","false","v1.1","1615.2999999467283","<p>Welcome to the study! Press any key to begin reading the instructions.</p>","72","welcome","",""
"html-button-response","2","34332","0.0-2.0","65","false","v1.1","32710.07999998983","<p>Before we begin, please close all other browser tabs and programs that may produce sound alerts or notifications, or which may be distracting.</p><p>In this study, we will be asking you to listen to sequences of sounds and to make judgments about them. Therefore, we require that you complete this task using headphones, while seated in a quiet environment. If it is not currently possible for you to satisfy these requirements, please return at a later time to complete the experiment.</p><p>If you are currently accessing the experiment in either Safari or Internet Explorer, please note that the task will NOT run correctly in these browsers. You should copy the URL from this page and paste it into a different web browser to complete the study there, instead. Chrome, Firefox, and the new version of Microsoft Edge are all supported.</p><p>If the text instructions appear too large or too small on your screen, you should adjust your browser's zoom level at this time. When you are ready to continue, press the button below.</p>","","requirements","0",""
"html-button-response","3","41750","0.0-3.0","65","false","v1.1","7415.985000086948","<p>Before you proceed to the main task, you will be asked to perform an audio test that will require headphones in order for you to respond correctly.</p><p>In this test, you will hear several sets of three tones. For each set, your goal is to determine which of the three tones is the quietest.</p><p>After hearing each set of tones, you will be prompted to press the 1, 2, or 3 key to indicate whether the first, second, or third tone was the quietest.</p><p>Press the button below to begin the test.</p>","","headphone_test_instructions","0",""
"audio-keyboard-response","4","47780","0.0-4.0-0.0","65","false","v1.1","null","headphone_check/antiphase_HC_SOI.wav","null","headphone_test_tones","",""
"html-keyboard-response","5","48467","0.0-4.0-1.0","65","false","v1.1","686.2199999159202","<p>Press the 1, 2, or 3 key on your keyboard to indicate which tone was the quietest.</p><p>If you were not able to hear three tones, check that your headphones are working and that your volume is turned up, then press 0.</p>","50","headphone_test_response","",""
"audio-keyboard-response","6","53973","0.0-4.0-0.1","65","false","v1.1","null","headphone_check/antiphase_HC_IOS.wav","null","headphone_test_tones","",""
"html-keyboard-response","7","54061","0.0-4.0-1.1","65","false","v1.1","86.75999997649342","<p>Press the 1, 2, or 3 key on your keyboard to indicate which tone was the quietest.</p><p>If you were not able to hear three tones, check that your headphones are working and that your volume is turned up, then press 0.</p>","51","headphone_test_response","",""
"audio-keyboard-response","8","59570","0.0-4.0-0.2","65","false","v1.1","4000","headphone_check/antiphase_HC_OIS.wav","51","headphone_test_tones","",""
"html-keyboard-response","9","63366","0.0-4.0-1.2","65","false","v1.1","3794.4750000024214","<p>Press the 1, 2, or 3 key on your keyboard to indicate which tone was the quietest.</p><p>If you were not able to hear three tones, check that your headphones are working and that your volume is turned up, then press 0.</p>","51","headphone_test_response","",""
"audio-keyboard-response","10","68875","0.0-4.0-0.3","65","false","v1.1","null","headphone_check/antiphase_HC_ISO.wav","null","headphone_test_tones","",""
"html-keyboard-response","11","69145","0.0-4.0-1.3","65","false","v1.1","269.18000006116927","<p>Press the 1, 2, or 3 key on your keyboard to indicate which tone was the quietest.</p><p>If you were not able to hear three tones, check that your headphones are working and that your volume is turned up, then press 0.</p>","50","headphone_test_response","",""
"audio-keyboard-response","12","74651","0.0-4.0-0.4","65","false","v1.1","null","headphone_check/antiphase_HC_OSI.wav","null","headphone_test_tones","",""
"html-keyboard-response","13","74832","0.0-4.0-1.4","65","false","v1.1","179.64500002563","<p>Press the 1, 2, or 3 key on your keyboard to indicate which tone was the quietest.</p><p>If you were not able to hear three tones, check that your headphones are working and that your volume is turned up, then press 0.</p>","50","headphone_test_response","",""
"audio-keyboard-response","14","80340","0.0-4.0-0.5","65","false","v1.1","null","headphone_check/antiphase_HC_SIO.wav","null","headphone_test_tones","",""
"html-keyboard-response","15","83174","0.0-4.0-1.5","65","false","v1.1","2833.2199999131262","<p>Press the 1, 2, or 3 key on your keyboard to indicate which tone was the quietest.</p><p>If you were not able to hear three tones, check that your headphones are working and that your volume is turned up, then press 0.</p>","50","headphone_test_response","",""
"html-keyboard-response","16","114185","0.0-5.0","65","false","v1.1","29507.194999954663","<p>Next, you will be asked to tap your finger for a short time at the rate that feels most natural and comfortable to you.</p><p>If you are right-handed, you should tap the J key with your right index finger during this task. If you are left-handed, you should instead tap the F key with your left index finger.</p><p>While completing this exercise, you should rest your wrist on a solid surface and keep your hand still, moving only your index finger to tap the specified key. Go ahead and place your hand in the appropriate position at this time. You should begin tapping when you see a cross (+) appear on the screen, and you should continue tapping until it disappears.</p><p>Remember, you should tap at whatever rate feels most <strong>natural and comfortable</strong> to you. Press the SPACEBAR when you are ready to begin.</p>","32","tap_task_instructions","",""
"audio-multiple-response","17","131195","0.0-6.0","65","false","v1.1","476,1376,2229,3111,3849,4731,5515,6298,7059,7930,8725,9549,10310,11088,11918,12713,13537,14280","","74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74","tapping_test","",""
"html-button-response","18","196517","0.0-7.0","65","false","v1.1","63815.560000017285","<p>Now you are ready to proceed to the main task.</p><p>On each trial, you will hear a series of clicks from a metronome, followed by a repeating piano tone. Your goal is to determine how much faster or slower this repeating tone is, compared to the metronome.</p><p>After listening to each pair, you will be given a slider with which to respond. The slider will range from ""Half as Fast"" on the left to ""Twice as Fast"" on the right. If the repeating tone was slower than the metronome, you should move the slider to the left by a distance which represents how much slower it was. If the repeating tone was faster than the metronome, you should instead move the slider to the right by a distance which represents how much faster it was. If the repeating tone was played at the same rate as the metronome, you should place the slider in the center of the range, where it is marked ""Equal Rates"".</p><p>While listening to the metronome and piano tones, try to keep your physical movements to a minimum, and avoid tapping or moving along with the sounds.</p><p>Press the button below to try three practice trials, which will help you get comfortable with the task.</p>","","main_instructions","0",""
"audio-multiple-response","19","200781","0.0-8.0","65","false","v1.1","","stimuli/reference_sequence.wav","","metronome","",""
"audio-multiple-response","20","205605","0.0-9.0","65","false","v1.1","","stimuli/practice_sequence_741.wav","","practice_tones","",""
"html-slider-response","21","213747","0.0-10.0","65","false","v1.1","8140.439999988303","How fast was the repeating tone relative to the metronome?","","response","","49"
"audio-multiple-response","22","217500","0.0-11.0","65","false","v1.1","","stimuli/reference_sequence.wav","","metronome","",""
"audio-multiple-response","23","221552","0.0-12.0","65","false","v1.1","","stimuli/practice_sequence_550.wav","","practice_tones","",""
"html-slider-response","24","233511","0.0-13.0","65","false","v1.1","11957.79500005301","How fast was the repeating tone relative to the metronome?","","response","","0"
"audio-multiple-response","25","237261","0.0-14.0","65","false","v1.1","","stimuli/reference_sequence.wav","","metronome","",""
"audio-multiple-response","26","240743","0.0-15.0","65","false","v1.1","","stimuli/practice_sequence_407.wav","","practice_tones","",""
"html-slider-response","27","244642","0.0-16.0","65","false","v1.1","3897.400000016205","How fast was the repeating tone relative to the metronome?","","response","","100"
"html-button-response","28","253399","0.0-17.0","65","false","v1.1","7251.319999922998","<p>You have completed the practice trials and are now ready to begin!</p><p>Remember, your goal is to determine how much faster or slower the repeating tone is, compared to the metronome, while keeping your movements to a minimum.</p><p>Please note that the trials are organized into three blocks, and you will have the opportunity to rest between blocks. If the practice trials were too loud or too quiet, adjust your volume now.</p><p><strong>It is critical that you do not adjust your volume any further until the study has concluded.</strong></p><p>Press the button below when you are ready to proceed.</p>","","summary_instructions","0",""
"audio-multiple-response","29","257654","0.0-18.0","65","false","v1.1","","stimuli/reference_sequence.wav","","metronome","",""
"audio-multiple-response","30","261903","0.0-19.0","65","false","v1.1","","stimuli/sequence_3_599_2.wav","","tones","",""
"html-slider-response","31","267183","0.0-20.0","65","false","v1.1","5278.930000029504","How fast was the repeating tone relative to the metronome?","","response","","0"
"audio-multiple-response","32","270937","0.0-21.0","65","false","v1.1","","stimuli/reference_sequence.wav","","metronome","",""
"audio-multiple-response","33","275394","0.0-22.0","65","false","v1.1","","stimuli/sequence_5_652_0.wav","","tones","",""
"html-slider-response","34","280814","0.0-23.0","65","false","v1.1","5418.605000013486","How fast was the repeating tone relative to the metronome?","","response","","0"
"audio-multiple-response","35","284567","0.0-24.0","65","false","v1.1","","stimuli/reference_sequence.wav","","metronome","",""
"audio-multiple-response","36","288125","0.0-25.0","65","false","v1.1","","stimuli/sequence_3_425_1.wav","","tones","",""
"html-slider-response","37","302951","0.0-26.0","65","false","v1.1","14824.080000049435","How fast was the repeating tone relative to the metronome?","","response","","69"
"audio-multiple-response","38","306702","0.0-27.0","65","false","v1.1","","stimuli/reference_sequence.wav","","metronome","",""
"audio-multiple-response","39","310574","0.0-28.0","65","false","v1.1","","stimuli/sequence_4_504_0.wav","","tones","",""
"html-slider-response","40","311821","0.0-29.0","65","false","v1.1","1246.3399999542162","How fast was the repeating tone relative to the metronome?","","response","","50"
"audio-multiple-response","41","315578","0.0-30.0","65","false","v1.1","","stimuli/reference_sequence.wav","","metronome","",""
"audio-multiple-response","42","320042","0.0-31.0","65","false","v1.1","","stimuli/sequence_3_652_2.wav","","tones","",""
"html-slider-response","43","323489","0.0-32.0","65","false","v1.1","3445.62999997288","How fast was the repeating tone relative to the metronome?","","response","","20"
"audio-multiple-response","44","327240","0.0-33.0","65","false","v1.1","","stimuli/reference_sequence.wav","","metronome","",""
"audio-multiple-response","45","330654","0.0-34.0","65","false","v1.1","","stimuli/sequence_6_390_0.wav","","tones","",""
"html-slider-response","46","337497","0.0-35.0","65","false","v1.1","6842.02500001993","How fast was the repeating tone relative to the metronome?","","response","","100"
"audio-multiple-response","47","341248","0.0-36.0","65","false","v1.1","","stimuli/reference_sequence.wav","","metronome","",""
"audio-multiple-response","48","345945","0.0-37.0","65","false","v1.1","","stimuli/sequence_7_710_1.wav","","tones","",""
"html-slider-response","49","347029","0.0-38.0","65","false","v1.1","1083.6450000060722","How fast was the repeating tone relative to the metronome?","","response","","50"
"audio-multiple-response","50","350780","0.0-39.0","65","false","v1.1","","stimuli/reference_sequence.wav","","metronome","",""
"audio-multiple-response","51","356315","0.0-40.0","65","false","v1.1","","stimuli/sequence_5_918_2.wav","","tones","",""
