"trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","stimulus","key_press","button_pressed","response"
"pavlovia","0","7","0.0-0.0","30","","","","",""
"html-keyboard-response","1","3347","0.0-1.0","30","3336.9499999971595","<p>Welcome to the study! Press any key to begin reading the instructions.</p>","78","",""
"html-button-response","2","9373","0.0-2.0","30","6022.97499999986","<p>Before we begin, please close all browser tabs not pertaining to this study, especially those that may produce sound alerts or which may be distracting.</p><p>In this study, we will be asking you to listen to sequences of sounds and to make judgments about them. Therefore, we require that you complete this task using headphones, while seated in a quiet environment. If it is not currently possible for you to satisfy these requirements, please return at a later time to complete the experiment.</p><p>If you are currently accessing the experiment in either Safari or Microsoft Edge/Internet Explorer, please note that the task will NOT run correctly in these browsers. You should copy the URL from this page and return to the study from a different web browser before proceeding.</p><p>If the text instructions appear too large or too small on your screen, you should adjust your browser's zoom level at this time. When you are ready to continue, press the button below.</p>","","0",""
"html-button-response","3","11974","0.0-3.0","30","2598.5450000007404","<p>Before you proceed to the main task, you will be asked to perform an audio test that will require headphones in order for you to respond correctly.</p><p>In this test, you will hear several sets of three tones. For each set, your goal is to determine which of the three tones is the quietest.</p><p>After hearing each set of tones, you will be prompted to press the 1, 2, or 3 key to indicate whether the first, second, or third tone was the quietest.</p><p>Press the button below to begin the test.</p>","","0",""
"audio-keyboard-response","4","18093","0.0-4.0-0.0","30","null","headphone_check/antiphase_HC_OIS.wav","null","",""
"html-keyboard-response","5","24308","0.0-4.0-1.0","30","6213.674999999057","<p>Press the 1, 2, or 3 key on your keyboard to indicate which tone was the quietest.</p><p>If you were not able to hear three tones, check that your headphones are working and that your volume is turned up, then press 0.</p>","49","",""
"audio-keyboard-response","6","29819","0.0-4.0-0.1","30","null","headphone_check/antiphase_HC_SIO.wav","null","",""
"html-keyboard-response","7","31560","0.0-4.0-1.1","30","1739.770000000135","<p>Press the 1, 2, or 3 key on your keyboard to indicate which tone was the quietest.</p><p>If you were not able to hear three tones, check that your headphones are working and that your volume is turned up, then press 0.</p>","49","",""
"audio-keyboard-response","8","37070","0.0-4.0-0.2","30","null","headphone_check/antiphase_HC_OSI.wav","null","",""
"html-keyboard-response","9","37856","0.0-4.0-1.2","30","784.8550000053365","<p>Press the 1, 2, or 3 key on your keyboard to indicate which tone was the quietest.</p><p>If you were not able to hear three tones, check that your headphones are working and that your volume is turned up, then press 0.</p>","50","",""
"audio-keyboard-response","10","43368","0.0-4.0-0.3","30","null","headphone_check/antiphase_HC_IOS.wav","null","",""
"html-keyboard-response","11","43856","0.0-4.0-1.3","30","487.2299999988172","<p>Press the 1, 2, or 3 key on your keyboard to indicate which tone was the quietest.</p><p>If you were not able to hear three tones, check that your headphones are working and that your volume is turned up, then press 0.</p>","51","",""
"audio-keyboard-response","12","49365","0.0-4.0-0.4","30","null","headphone_check/antiphase_HC_SOI.wav","null","",""
"html-keyboard-response","13","49749","0.0-4.0-1.4","30","383.574999999837","<p>Press the 1, 2, or 3 key on your keyboard to indicate which tone was the quietest.</p><p>If you were not able to hear three tones, check that your headphones are working and that your volume is turned up, then press 0.</p>","49","",""
"audio-keyboard-response","14","55257","0.0-4.0-0.5","30","null","headphone_check/antiphase_HC_ISO.wav","null","",""
"html-keyboard-response","15","55866","0.0-4.0-1.5","30","607.6750000065658","<p>Press the 1, 2, or 3 key on your keyboard to indicate which tone was the quietest.</p><p>If you were not able to hear three tones, check that your headphones are working and that your volume is turned up, then press 0.</p>","50","",""
"html-button-response","16","71921","0.0-5.0","30","14549.894999996468","<p>Next, you will be asked to repeatedly tap your finger at the rate that feels most natural and comfortable to you.</p><p>If you are right-handed, you should tap the J key with your right index finger during this task. If you are left-handed, you should instead tap the F key with your left index finger.</p><p>A cross (+) will be displayed on the screen to indicate when you should begin tapping. You should continue tapping until the cross disappears.</p><p>Press the button below to begin the tapping task.</p>","","0",""
"audio-multiple-response","17","93933","0.0-6.0","30","354,621,882,1149,1399,1666,1927,2183,2450,2717,2966,3210,3448,3709,3976,4220,4481,4731,4986,5242,5486,5747,5979,6223,6473,6711,6978,7210,7465,7721,7964,8226,8481,8725,8986,9230,9468,9718,9967,10228,10466,10728,10989,11262,11535,11796,12080,12330,12614,12881,13137,13404,13665,13909,14164,14425,14687,14954,15215,15476,15749,16022,16271,16533,16782,17090,17340,17607,17885,18175,18413,18698,18947,19226,19505,19772","","74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74","",""
"html-button-response","18","104023","0.0-7.0","30","8582.759999997506","<p>Now you are ready to proceed to the main task.</p><p>On each trial, you will hear a series of clicks from a metronome, followed by a sequence of piano tones. Your goal is to determine how much faster or slower this tone sequence is, compared to the metronome.</p><p>After listening to each tone sequence, you will be given a slider with which to respond. The slider will range from ""Half as Fast"" on the left to ""Twice as Fast"" on the right. If the tone sequence was slower than the metronome, you should move the slider to the left by a distance which represents how much slower the tone sequence was. If the tone sequence was faster than the metronome, you should instead move the slider to the right by a distance which represents how much faster it was. If the tone sequence was played at the same rate as the metronome, you should place the slider in the center of the range, where it is marked ""Equal Rates"".</p><p>While listening to the metronome and piano sequences, try to keep your physical movements to a minimum, and avoid tapping or moving along with the sounds.</p><p>Press the button below to try three practice trials, which will help you get comfortable with the task.</p>","","0",""
"audio-multiple-response","19","108364","0.0-8.0","30","","stimuli/reference_sequence.wav","","",""
"audio-multiple-response","20","113339","0.0-9.0","30","","stimuli/practice_sequence_741.wav","","",""
"html-slider-response","21","116581","0.0-10.0","30","3240.319999997155","How fast was the tone sequence relative to the clicks?","","","50"
"audio-multiple-response","22","120317","0.0-11.0","30","","stimuli/reference_sequence.wav","","",""
"audio-multiple-response","23","124525","0.0-12.0","30","","stimuli/practice_sequence_550.wav","","",""
"html-slider-response","24","125598","0.0-13.0","30","1071.0649999964517","How fast was the tone sequence relative to the clicks?","","","50"
"audio-multiple-response","25","129338","0.0-14.0","30","","stimuli/reference_sequence.wav","","",""
"audio-multiple-response","26","132973","0.0-15.0","30","","stimuli/practice_sequence_407.wav","","",""
"html-slider-response","27","135696","0.0-16.0","30","2721.994999999879","How fast was the tone sequence relative to the clicks?","","","0"
"html-button-response","28","139071","0.0-17.0","30","1871.3950000019395","<p>You have completed the practice trials and are now ready to begin!</p><p>Remember, your goal is to determine how much faster or slower the piano sequence is, compared to the metronome, while keeping your movements to a minimum.</p><p>Please note that the trials are organized into three blocks, and you will have the opportunity to rest between blocks. If the practice trials were too loud or too quiet, adjust your volume now.</p><p><strong>It is critical that you do not adjust your volume any further until the study has concluded.</strong></p><p>Press the button below when you are ready to proceed.</p>","","0",""
"audio-multiple-response","29","143311","0.0-18.0","30","","stimuli/reference_sequence.wav","","",""
"audio-multiple-response","30","146637","0.0-19.0","30","","stimuli/sequence_6_329_19.wav","","",""
"html-slider-response","31","152109","0.0-20.0","30","5470.3649999937625","How fast was the tone sequence relative to the clicks?","","","22"
"audio-multiple-response","32","155844","0.0-21.0","30","","stimuli/reference_sequence.wav","","",""
"audio-multiple-response","33","160692","0.0-22.0","30","","stimuli/sequence_7_710_19.wav","","",""
"html-slider-response","34","161599","0.0-23.0","30","906.2799999956042","How fast was the tone sequence relative to the clicks?","","","50"
"audio-multiple-response","35","165336","0.0-24.0","30","","stimuli/reference_sequence.wav","","",""
"audio-multiple-response","36","171013","0.0-25.0","30","","stimuli/sequence_6_918_16.wav","","",""
"html-slider-response","37","172194","0.0-26.0","30","1179.4350000054692","How fast was the tone sequence relative to the clicks?","","","50"
"audio-multiple-response","38","175930","0.0-27.0","30","","stimuli/reference_sequence.wav","","",""
"audio-multiple-response","39","180336","0.0-28.0","30","","stimuli/sequence_3_599_19.wav","","",""
"html-slider-response","40","180966","0.0-29.0","30","628.3199999961653","How fast was the tone sequence relative to the clicks?","","","50"
"audio-multiple-response","41","184702","0.0-30.0","30","","stimuli/reference_sequence.wav","","",""
"audio-multiple-response","42","189805","0.0-31.0","30","","stimuli/sequence_6_774_16.wav","","",""
"html-slider-response","43","192005","0.0-32.0","30","2199.189999999362","How fast was the tone sequence relative to the clicks?","","","24"
"audio-multiple-response","44","195743","0.0-33.0","30","","stimuli/reference_sequence.wav","","",""
"audio-multiple-response","45","198959","0.0-34.0","30","","stimuli/sequence_2_302_19.wav","","",""
"html-slider-response","46","202020","0.0-35.0","30","3059.1800000038347","How fast was the tone sequence relative to the clicks?","","","65"
"audio-multiple-response","47","205751","0.0-36.0","30","","stimuli/reference_sequence.wav","","",""
"audio-multiple-response","48","209322","0.0-37.0","30","","stimuli/sequence_5_390_19.wav","","",""
"html-slider-response","49","211531","0.0-38.0","30","2208.2750000045053","How fast was the tone sequence relative to the clicks?","","","50"
"audio-multiple-response","50","215266","0.0-39.0","30","","stimuli/reference_sequence.wav","","",""
"audio-multiple-response","51","218587","0.0-40.0","30","","stimuli/sequence_7_329_13.wav","","",""
"html-slider-response","52","219732","0.0-41.0","30","1144.0849999999045","How fast was the tone sequence relative to the clicks?","","","50"
"audio-multiple-response","53","223468","0.0-42.0","30","","stimuli/reference_sequence.wav","","",""
"audio-multiple-response","54","229146","0.0-43.0","30","","stimuli/sequence_5_918_19.wav","","",""
"html-slider-response","55","233410","0.0-44.0","30","4262.385000001814","How fast was the tone sequence relative to the clicks?","","","40"
"audio-multiple-response","56","237146","0.0-45.0","30","","stimuli/reference_sequence.wav","","",""
"audio-multiple-response","57","241006","0.0-46.0","30","","stimuli/sequence_7_463_19.wav","","",""
"html-slider-response","58","243912","0.0-47.0","30","2904.674999997951","How fast was the tone sequence relative to the clicks?","","","50"
"audio-multiple-response","59","247647","0.0-48.0","30","","stimuli/reference_sequence.wav","","",""
"audio-multiple-response","60","252053","0.0-49.0","30","","stimuli/sequence_6_599_19.wav","","",""
"html-slider-response","61","253184","0.0-50.0","30","1129.8200000019278","How fast was the tone sequence relative to the clicks?","","","50"
"audio-multiple-response","62","256924","0.0-51.0","30","","stimuli/reference_sequence.wav","","",""
"audio-multiple-response","63","262305","0.0-52.0","30","","stimuli/sequence_7_843_19.wav","","",""
"html-slider-response","64","266156","0.0-53.0","30","3849.740000005113","How fast was the tone sequence relative to the clicks?","","","83"
"audio-multiple-response","65","269892","0.0-54.0","30","","stimuli/reference_sequence.wav","","",""
"audio-multiple-response","66","274740","0.0-55.0","30","","stimuli/sequence_3_710_16.wav","","",""
"html-slider-response","67","275352","0.0-56.0","30","611.3350000014179","How fast was the tone sequence relative to the clicks?","","","50"
"audio-multiple-response","68","279088","0.0-57.0","30","","stimuli/reference_sequence.wav","","",""
"audio-multiple-response","69","284771","0.0-58.0","30","","stimuli/sequence_2_918_16.wav","","",""
"html-slider-response","70","287291","0.0-59.0","30","2519.2099999985658","How fast was the tone sequence relative to the clicks?","","","77"
"audio-multiple-response","71","291029","0.0-60.0","30","","stimuli/reference_sequence.wav","","",""
"audio-multiple-response","72","294600","0.0-61.0","30","","stimuli/sequence_6_390_19.wav","","",""
"html-slider-response","73","297117","0.0-62.0","30","2515.6200000055833","How fast was the tone sequence relative to the clicks?","","","64"
"audio-multiple-response","74","300854","0.0-63.0","30","","stimuli/reference_sequence.wav","","",""
"audio-multiple-response","75","305703","0.0-64.0","30","","stimuli/sequence_2_710_13.wav","","",""
"html-slider-response","76","307935","0.0-65.0","30","2230.6749999988824","How fast was the tone sequence relative to the clicks?","","","18"
"audio-multiple-response","77","311671","0.0-66.0","30","","stimuli/reference_sequence.wav","","",""
"audio-multiple-response","78","317680","0.0-67.0","30","","stimuli/sequence_4_1000_13.wav","","",""
"html-slider-response","79","319762","0.0-68.0","30","2080.3149999992456","How fast was the tone sequence relative to the clicks?","","","74"
"audio-multiple-response","80","323497","0.0-69.0","30","","stimuli/reference_sequence.wav","","",""
"audio-multiple-response","81","327701","0.0-70.0","30","","stimuli/sequence_2_550_19.wav","","",""
"html-slider-response","82","328999","0.0-71.0","30","1297.3150000034366","How fast was the tone sequence relative to the clicks?","","","50"
"audio-multiple-response","83","332734","0.0-72.0","30","","stimuli/reference_sequence.wav","","",""
"audio-multiple-response","84","338743","0.0-73.0","30","","stimuli/sequence_3_1000_19.wav","","",""
