"trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","stimulus","key_press","button_pressed","response"
"pavlovia","0","3","0.0-0.0","62","","","","",""
"html-keyboard-response","1","1847","0.0-1.0","62","1839.765000011539","<p>Welcome to the study! Press any key to begin reading the instructions.</p>","32","",""
"html-button-response","2","48681","0.0-2.0","62","46829.45000001928","<p>Before we begin, please close all browser tabs not pertaining to this study, especially those that may produce sound alerts or which may be distracting.</p><p>In this study, we will be asking you to listen to sequences of sounds and to make judgments about them. Therefore, we require that you complete this task using headphones, while seated in a quiet environment. If it is not currently possible for you to satisfy these requirements, please return at a later time to complete the experiment.</p><p>If you are currently accessing the experiment in either Safari or Microsoft Edge/Internet Explorer, please note that the task will NOT run correctly in these browsers. You should copy the URL from this page and return to the study from a different web browser before proceeding.</p><p>If the text instructions appear too large or too small on your screen, you should adjust your browser's zoom level at this time. When you are ready to continue, press the button below.</p>","","0",""
"html-button-response","3","64982","0.0-3.0","62","16298.630000004778","<p>Before you proceed to the main task, you will be asked to perform an audio test that will require headphones in order for you to respond correctly.</p><p>In this test, you will hear several sets of three tones. For each set, your goal is to determine which of the three tones is the quietest.</p><p>After hearing each set of tones, you will be prompted to press the 1, 2, or 3 key to indicate whether the first, second, or third tone was the quietest.</p><p>Press the button below to begin the test.</p>","","0",""
"audio-keyboard-response","4","71013","0.0-4.0-0.0","62","null","headphone_check/antiphase_HC_ISO.wav","null","",""
"html-keyboard-response","5","72890","0.0-4.0-1.0","62","1875.5200000014156","<p>Press the 1, 2, or 3 key on your keyboard to indicate which tone was the quietest.</p><p>If you were not able to hear three tones, check that your headphones are working and that your volume is turned up, then press 0.</p>","50","",""
"audio-keyboard-response","6","78397","0.0-4.0-0.1","62","null","headphone_check/antiphase_HC_OSI.wav","null","",""
"html-keyboard-response","7","86331","0.0-4.0-1.1","62","7932.309999974677","<p>Press the 1, 2, or 3 key on your keyboard to indicate which tone was the quietest.</p><p>If you were not able to hear three tones, check that your headphones are working and that your volume is turned up, then press 0.</p>","48","",""
"audio-keyboard-response","8","91841","0.0-4.0-0.2","62","null","headphone_check/antiphase_HC_IOS.wav","null","",""
"html-keyboard-response","9","98937","0.0-4.0-1.2","62","7095.184999983758","<p>Press the 1, 2, or 3 key on your keyboard to indicate which tone was the quietest.</p><p>If you were not able to hear three tones, check that your headphones are working and that your volume is turned up, then press 0.</p>","51","",""
"audio-keyboard-response","10","104444","0.0-4.0-0.3","62","null","headphone_check/antiphase_HC_OIS.wav","null","",""
"html-keyboard-response","11","105212","0.0-4.0-1.3","62","767.3500000091735","<p>Press the 1, 2, or 3 key on your keyboard to indicate which tone was the quietest.</p><p>If you were not able to hear three tones, check that your headphones are working and that your volume is turned up, then press 0.</p>","51","",""
"audio-keyboard-response","12","110720","0.0-4.0-0.4","62","null","headphone_check/antiphase_HC_SOI.wav","null","",""
"html-keyboard-response","13","111515","0.0-4.0-1.4","62","794.8900000192225","<p>Press the 1, 2, or 3 key on your keyboard to indicate which tone was the quietest.</p><p>If you were not able to hear three tones, check that your headphones are working and that your volume is turned up, then press 0.</p>","49","",""
"audio-keyboard-response","14","117024","0.0-4.0-0.5","62","null","headphone_check/antiphase_HC_SIO.wav","null","",""
"html-keyboard-response","15","118110","0.0-4.0-1.5","62","1085.910000023432","<p>Press the 1, 2, or 3 key on your keyboard to indicate which tone was the quietest.</p><p>If you were not able to hear three tones, check that your headphones are working and that your volume is turned up, then press 0.</p>","49","",""
"html-button-response","16","138540","0.0-5.0","62","18923.81499998737","<p>Next, you will be asked to repeatedly tap your finger at the rate that feels most natural and comfortable to you.</p><p>If you are right-handed, you should tap the J key with your right index finger during this task. If you are left-handed, you should instead tap the F key with your left index finger.</p><p>A cross (+) will be displayed on the screen to indicate when you should begin tapping. You should continue tapping until the cross disappears.</p><p>Press the button below to begin the tapping task.</p>","","0",""
"audio-multiple-response","17","160550","0.0-6.0","62","447,981,1533,2101,2664,3204,3773,4331,4870,5428,5968,6519,7076,7668,8295,8853,9445,9956,10536,11093,11651,12243,12806,13369,13932,14547,15093,15697,16254,16788,17345,17926,18500,19075,19644","","74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74","",""
